,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
290,"frozenset({'transit_station', 'highSales'})",frozenset({'bus_station'}),0.7185185185185186,0.9425925925925925,0.7055555555555556,0.981958762886598,1.041763717011322,0.028285322359396514,3.182010582010596
291,"frozenset({'transit_station', 'bus_station'})",frozenset({'highSales'}),0.9425925925925925,0.7444444444444445,0.7055555555555556,0.7485265225933203,1.0054833885581915,0.0038477366255145196,1.0162326388888892
292,"frozenset({'highSales', 'bus_station'})",frozenset({'transit_station'}),0.7055555555555556,0.9592592592592593,0.7055555555555556,1.0,1.0424710424710424,0.02874485596707821,inf
293,frozenset({'transit_station'}),"frozenset({'highSales', 'bus_station'})",0.9592592592592593,0.7055555555555556,0.7055555555555556,0.7355212355212356,1.0424710424710426,0.02874485596707821,1.1133008921330092
294,frozenset({'highSales'}),"frozenset({'transit_station', 'bus_station'})",0.7444444444444445,0.9425925925925925,0.7055555555555556,0.9477611940298508,1.0054833885581915,0.0038477366255145196,1.0989417989418016
295,frozenset({'bus_station'}),"frozenset({'transit_station', 'highSales'})",0.9425925925925925,0.7185185185185186,0.7055555555555556,0.7485265225933203,1.041763717011322,0.028285322359396514,1.1193287037037039
296,"frozenset({'hair_care', 'store'})",frozenset({'transit_station'}),0.8481481481481481,0.9592592592592593,0.8425925925925926,0.9934497816593887,1.0356426295290924,0.02899862825788757,6.219753086419792
297,"frozenset({'hair_care', 'transit_station'})",frozenset({'store'}),0.8444444444444444,0.975925925925926,0.8425925925925926,0.9978070175438596,1.0224208528912413,0.018477366255143957,10.977777777777444
298,"frozenset({'transit_station', 'store'})",frozenset({'hair_care'}),0.9518518518518518,0.85,0.8425925925925926,0.8852140077821011,1.0414282444495309,0.0335185185185185,1.3067796610169489
299,frozenset({'hair_care'}),"frozenset({'transit_station', 'store'})",0.85,0.9518518518518518,0.8425925925925926,0.9912854030501089,1.0414282444495309,0.0335185185185185,5.524999999999998
300,frozenset({'store'}),"frozenset({'hair_care', 'transit_station'})",0.975925925925926,0.8444444444444444,0.8425925925925926,0.8633776091081593,1.0224208528912413,0.018477366255143957,1.1385802469135795
301,frozenset({'transit_station'}),"frozenset({'hair_care', 'store'})",0.9592592592592593,0.8481481481481481,0.8425925925925926,0.8783783783783784,1.0356426295290926,0.02899862825788757,1.2485596707818936
302,"frozenset({'hair_care', 'store'})",frozenset({'real_estate_agency'}),0.8481481481481481,0.812962962962963,0.7407407407407407,0.8733624454148472,1.0742954909430922,0.0512277091906721,1.476947637292465
303,"frozenset({'hair_care', 'real_estate_agency'})",frozenset({'store'}),0.7407407407407407,0.975925925925926,0.7407407407407407,1.0,1.0246679316888045,0.017832647462277085,inf
304,"frozenset({'store', 'real_estate_agency'})",frozenset({'hair_care'}),0.812962962962963,0.85,0.7407407407407407,0.9111617312072892,1.0719549778909285,0.04972222222222222,1.6884615384615362
305,frozenset({'hair_care'}),"frozenset({'store', 'real_estate_agency'})",0.85,0.812962962962963,0.7407407407407407,0.8714596949891067,1.0719549778909285,0.04972222222222222,1.455084745762711
306,frozenset({'store'}),"frozenset({'hair_care', 'real_estate_agency'})",0.975925925925926,0.7407407407407407,0.7407407407407407,0.7590132827324477,1.0246679316888045,0.017832647462277085,1.0758238553514141
307,frozenset({'real_estate_agency'}),"frozenset({'hair_care', 'store'})",0.812962962962963,0.8481481481481481,0.7407407407407407,0.9111617312072892,1.0742954909430922,0.0512277091906721,1.709306742640074
308,"frozenset({'hair_care', 'store'})",frozenset({'doctor'}),0.8481481481481481,0.8037037037037037,0.7425925925925926,0.8755458515283843,1.089388847523796,0.060932784636488324,1.5772579597140999
309,"frozenset({'hair_care', 'doctor'})",frozenset({'store'}),0.7425925925925926,0.975925925925926,0.7425925925925926,1.0,1.0246679316888045,0.0178772290809327,inf
310,"frozenset({'store', 'doctor'})",frozenset({'hair_care'}),0.8037037037037037,0.85,0.7425925925925926,0.9239631336405529,1.087015451341827,0.05944444444444441,1.9727272727272716
311,frozenset({'hair_care'}),"frozenset({'store', 'doctor'})",0.85,0.8037037037037037,0.7425925925925926,0.8736383442265795,1.087015451341827,0.05944444444444441,1.5534482758620687
312,frozenset({'store'}),"frozenset({'hair_care', 'doctor'})",0.975925925925926,0.7425925925925926,0.7425925925925926,0.7609108159392789,1.0246679316888045,0.0178772290809327,1.0766166960611403
313,frozenset({'doctor'}),"frozenset({'hair_care', 'store'})",0.8037037037037037,0.8481481481481481,0.7425925925925926,0.9239631336405529,1.089388847523796,0.060932784636488324,1.997081930415263
314,"frozenset({'transit_station', 'store'})",frozenset({'atm'}),0.9518518518518518,0.7388888888888889,0.7333333333333333,0.7704280155642023,1.0426845323425293,0.030020576131687182,1.1373822975517884
315,"frozenset({'transit_station', 'atm'})",frozenset({'store'}),0.7351851851851852,0.975925925925926,0.7333333333333333,0.9974811083123425,1.0220869041530645,0.015847050754458136,9.557407407407089
316,"frozenset({'atm', 'store'})",frozenset({'transit_station'}),0.7351851851851852,0.9592592592592593,0.7333333333333333,0.9974811083123425,1.0398451708275385,0.028100137174211226,16.17407407407357
317,frozenset({'transit_station'}),"frozenset({'atm', 'store'})",0.9592592592592593,0.7351851851851852,0.7333333333333333,0.7644787644787644,1.0398451708275385,0.028100137174211226,1.124377656344869
318,frozenset({'store'}),"frozenset({'transit_station', 'atm'})",0.975925925925926,0.7351851851851852,0.7333333333333333,0.7514231499051233,1.0220869041530645,0.015847050754458136,1.065323720667232
319,frozenset({'atm'}),"frozenset({'transit_station', 'store'})",0.7388888888888889,0.9518518518518518,0.7333333333333333,0.9924812030075186,1.0426845323425293,0.030020576131687182,6.403703703703564
320,"frozenset({'transit_station', 'store'})",frozenset({'real_estate_agency'}),0.9518518518518518,0.812962962962963,0.8055555555555556,0.8463035019455253,1.041011141345293,0.031735253772290806,1.2169245194561646
321,"frozenset({'transit_station', 'real_estate_agency'})",frozenset({'store'}),0.8055555555555556,0.975925925925926,0.8055555555555556,1.0,1.0246679316888045,0.019393004115226264,inf
322,"frozenset({'store', 'real_estate_agency'})",frozenset({'transit_station'}),0.812962962962963,0.9592592592592593,0.8055555555555556,0.9908883826879271,1.0329724452731286,0.02571330589849108,4.471296296296301
323,frozenset({'transit_station'}),"frozenset({'store', 'real_estate_agency'})",0.9592592592592593,0.812962962962963,0.8055555555555556,0.8397683397683398,1.0329724452731286,0.02571330589849108,1.167291387773315
